episode,steps,return,length,success,crash,wall_time
326,27866,-60.448,47,0,1,221.7
327,27902,-15.347,36,0,1,222.1
328,27920,-50.573,18,0,1,222.3
329,27986,-96.846,66,0,1,222.9
330,28150,-25.611,164,0,1,224.6
331,28400,66.641,250,0,0,227.1
332,28478,-104.881,78,0,1,227.9
333,28556,-44.806,78,0,1,228.6
334,28806,81.585,250,0,0,231.2
335,29056,50.819,250,0,0,233.8
336,29109,-99.698,53,0,1,234.4
337,29124,-109.114,15,0,1,234.5
338,29374,87.298,250,0,0,237.1
339,29624,79.178,250,0,0,239.8
340,29874,69.383,250,0,0,242.4
341,29943,-34.702,69,0,1,243.1
342,30193,84.184,250,0,0,246.0
343,30443,68.573,250,0,0,248.5
344,30603,172.205,160,1,0,250.2
345,30853,67.922,250,0,0,252.7
346,31103,70.843,250,0,0,255.2
347,31353,73.266,250,0,0,257.7
348,31603,64.926,250,0,0,260.3
349,31690,-2.746,87,0,1,261.2
350,31741,-42.487,51,0,1,261.7
351,31991,89.419,250,0,0,264.5
352,32202,-81.739,211,0,1,266.9
353,32314,-57.391,112,0,1,268.1
354,32564,57.74,250,0,0,270.6
355,32814,55.481,250,0,0,273.2
356,33064,83.147,250,0,0,275.9
357,33314,64.732,250,0,0,278.7
358,33564,72.507,250,0,0,281.3
359,33814,26.853,250,0,0,283.8
360,34057,-55.833,243,0,1,286.3
361,34094,-79.044,37,0,1,286.7
362,34119,-93.998,25,0,1,286.9
363,34187,-36.19,68,0,1,287.8
364,34437,66.843,250,0,0,290.7
365,34687,70.916,250,0,0,294.4
366,34937,42.245,250,0,0,298.4
367,35011,-19.667,74,0,1,299.4
368,35049,-92.633,38,0,1,299.9
369,35055,-94.965,6,0,1,300.0
370,35305,56.214,250,0,0,303.4
371,35555,52.914,250,0,0,306.7
372,35694,-30.775,139,0,1,308.7
373,35944,75.194,250,0,0,313.1
374,36003,-26.897,59,0,1,315.6
375,36253,75.359,250,0,0,319.8
376,36503,69.288,250,0,0,324.0
377,36753,81.831,250,0,0,327.0
378,37003,77.912,250,0,0,330.2
379,37253,62.93,250,0,0,333.9
380,37503,63.368,250,0,0,337.9
381,37753,62.145,250,0,0,343.0
382,37802,-11.375,49,0,1,344.3
383,38052,71.974,250,0,0,347.4
384,38079,-26.237,27,0,1,347.7
