episode,steps,return,length,success,crash,wall_time
368,42637,174.105,139,1,0,93.4
369,42669,-67.798,32,0,1,93.4
370,42722,-23.041,53,0,1,93.5
371,42855,178.089,133,1,0,93.7
372,42943,201.06,88,1,0,93.9
373,43167,-17.843,224,0,1,95.3
374,43417,78.914,250,0,0,95.7
375,43546,195.832,129,1,0,95.9
376,43794,-19.863,248,0,1,96.3
377,43907,-64.293,113,0,1,96.5
378,44157,59.002,250,0,0,96.9
379,44233,-22.279,76,0,1,97.0
380,44282,-37.098,49,0,1,97.1
381,44365,182.229,83,1,0,97.2
382,44484,198.4,119,1,0,97.4
383,44577,196.012,93,1,0,97.6
384,44827,69.542,250,0,0,98.0
385,44922,-32.124,95,0,1,98.2
386,44942,-83.792,20,0,1,98.2
387,45043,-21.958,101,0,1,98.4
388,45140,186.427,97,1,0,99.7
389,45239,184.529,99,1,0,99.9
390,45342,-24.693,103,0,1,100.0
391,45567,-8.272,225,0,1,100.5
392,45699,-16.403,132,0,1,100.7
393,45789,185.336,90,1,0,100.9
394,45877,-23.92,88,0,1,101.0
395,46127,78.07,250,0,0,101.4
396,46360,-26.61,233,0,1,101.8
397,46419,-69.336,59,0,1,101.9
398,46454,-48.511,35,0,1,102.0
399,46475,-91.823,21,0,1,102.0
400,46486,-94.715,11,0,1,102.0
401,46634,188.961,148,1,0,102.3
402,46739,187.354,105,1,0,102.5
403,46907,189.395,168,1,0,102.7
404,47030,-22.671,123,0,1,102.9
405,47229,200.05,199,1,0,104.3
406,47479,68.371,250,0,0,104.7
407,47729,67.855,250,0,0,105.2
408,47979,58.412,250,0,0,105.8
409,48229,183.795,250,1,0,106.2
410,48318,-19.528,89,0,1,106.4
411,48549,193.793,231,1,0,106.8
412,48799,75.141,250,0,0,107.2
413,48991,-23.337,192,0,1,107.5
414,49133,187.235,142,1,0,107.8
415,49248,189.436,115,1,0,108.8
416,49498,76.429,250,0,0,109.3
417,49694,178.288,196,1,0,109.6
418,49742,-40.451,48,0,1,109.7
419,49947,-17.566,205,0,1,110.0
420,50059,193.227,112,1,0,110.2
421,50221,-16.355,162,0,1,110.5
422,50351,193.503,130,1,0,110.7
423,50521,-39.414,170,0,1,111.1
424,50689,183.088,168,1,0,111.4
425,50897,-23.383,208,0,1,111.8
426,51147,69.14,250,0,0,112.2
427,51272,-38.139,125,0,1,113.4
428,51296,-89.327,24,0,1,113.4
429,51546,80.831,250,0,0,113.9
430,51669,-24.237,123,0,1,114.2
431,51919,80.434,250,0,0,114.7
432,52169,69.451,250,0,0,115.2
433,52305,-33.181,136,0,1,115.4
434,52314,-105.325,9,0,1,115.4
435,52332,-104.206,18,0,1,115.5
436,52582,89.421,250,0,0,116.0
437,52595,-83.913,13,0,1,116.0
438,52615,-75.3,20,0,1,116.1
439,52865,74.144,250,0,0,116.5
440,52892,-60.454,27,0,1,116.5
441,52935,-48.139,43,0,1,116.6
442,53125,-20.764,190,0,1,116.9
443,53375,70.798,250,0,0,118.3
444,53521,197.607,146,1,0,118.5
445,53535,-105.211,14,0,1,118.6
446,53785,76.216,250,0,0,119.0
447,54035,73.265,250,0,0,119.5
448,54098,-50.014,63,0,1,119.6
449,54308,188.015,210,1,0,119.9
450,54558,73.335,250,0,0,120.3
451,54704,-30.981,146,0,1,120.6
452,54808,192.953,104,1,0,120.7
453,54916,-70.123,108,0,1,120.9
454,55002,-102.672,86,0,1,121.1
455,55075,186.882,73,1,0,121.2
456,55158,-17.102,83,0,1,121.3
457,55408,6.245,250,0,0,122.7
458,55495,-14.073,87,0,1,122.8
459,55727,-40.711,232,0,1,123.2
460,55977,81.909,250,0,0,123.6
461,56112,-79.745,135,0,1,123.8
462,56362,80.173,250,0,0,124.2
463,56612,90.844,250,0,0,124.7
464,56862,72.855,250,0,0,125.1
465,56889,-80.831,27,0,1,125.2
466,56947,-55.362,58,0,1,125.3
467,57197,73.617,250,0,0,125.7
468,57269,187.67,72,1,0,125.8
469,57504,191.588,235,1,0,127.3
470,57624,-24.131,120,0,1,127.5
471,57874,87.148,250,0,0,127.9
472,58072,-17.02,198,0,1,128.3
473,58307,183.332,235,1,0,128.7
474,58494,-78.514,187,0,1,129.0
475,58634,-42.58,140,0,1,129.2
476,58873,-27.774,239,0,1,129.6
477,59036,-21.456,163,0,1,129.9
478,59273,179.096,237,1,0,130.3
479,59410,-84.398,137,0,1,131.4
480,59660,77.474,250,0,0,131.8
481,59688,-76.05,28,0,1,131.8
482,59938,81.691,250,0,0,132.4
483,60015,186.44,77,1,0,132.5
484,60200,-14.283,185,0,1,132.8
485,60314,185.868,114,1,0,133.0
486,60320,-91.561,6,0,1,133.0
487,60398,-35.764,78,0,1,133.1
488,60443,-78.707,45,0,1,133.2
489,60693,77.004,250,0,0,133.6
490,60943,57.265,250,0,0,134.0
491,61121,184.518,178,1,0,134.2
492,61200,-24.166,79,0,1,134.4
493,61324,-36.901,124,0,1,134.6
494,61475,184.725,151,1,0,135.8
495,61582,-50.936,107,0,1,135.9
496,61679,-37.608,97,0,1,136.1
497,61790,178.778,111,1,0,136.3
498,61890,196.98,100,1,0,136.4
499,61985,-12.878,95,0,1,136.6
500,62076,-35.914,91,0,1,136.8
501,62108,-66.64,32,0,1,136.8
502,62358,81.114,250,0,0,137.3
503,62447,183.453,89,1,0,137.4
504,62580,194.479,133,1,0,137.6
505,62645,-34.54,65,0,1,137.7
506,62817,-58.159,172,0,1,138.0
507,62931,-14.734,114,0,1,138.1
508,63124,182.502,193,1,0,138.4
509,63374,86.782,250,0,0,138.8
510,63624,85.165,250,0,0,140.1
511,63657,-100.029,33,0,1,140.1
512,63869,-13.734,212,0,1,140.4
513,63936,-86.005,67,0,1,140.5
514,64186,88.003,250,0,0,140.9
515,64347,187.381,161,1,0,141.1
516,64597,83.618,250,0,0,141.5
517,64695,-86.618,98,0,1,141.7
518,64840,204.861,145,1,0,141.9
519,64858,-94.013,18,0,1,141.9
520,64929,189.51,71,1,0,142.0
521,65006,204.192,77,1,0,142.1
522,65243,175.201,237,1,0,142.5
